"model_type","train_batch","species","horizon","skill"
"gam_var_scores",1,"all_series",1,0.543854127558271
"gam_var_scores",1,"all_series",2,0.524604882774493
"gam_var_scores",1,"all_series",3,-0.0757051996781848
"gam_var_scores",1,"all_series",4,0.0962604196132654
"gam_var_scores",1,"all_series",5,0.267823486208762
"gam_var_scores",1,"all_series",6,-0.558520837332571
"gam_var_scores",1,"DO",1,0.935113474010365
"gam_var_scores",1,"DO",2,-1.29588583114802
"gam_var_scores",1,"DO",3,-1.59900351643256
"gam_var_scores",1,"DO",4,-4.82466350519852
"gam_var_scores",1,"DO",5,-0.898600455332384
"gam_var_scores",1,"DO",6,-3.33454592521775
"gam_var_scores",1,"DM",1,0.756371187500472
"gam_var_scores",1,"DM",2,0.835516678552616
"gam_var_scores",1,"DM",3,0.73611420755465
"gam_var_scores",1,"DM",4,0.82428121798786
"gam_var_scores",1,"DM",5,0.793805003187451
"gam_var_scores",1,"DM",6,0.792737815745985
"gam_var_scores",1,"PP",1,0.590869530888676
"gam_var_scores",1,"PP",2,0.701368562278067
"gam_var_scores",1,"PP",3,-0.0708295794810185
"gam_var_scores",1,"PP",4,-0.145551746168646
"gam_var_scores",1,"PP",5,0.399953408278466
"gam_var_scores",1,"PP",6,-1.51108206511656
"gam_var_scores",1,"PB",1,-1.16754699070448
"gam_var_scores",1,"PB",2,-0.566817258832581
"gam_var_scores",1,"PB",3,-0.2959255593405
"gam_var_scores",1,"PB",4,-0.202567971864541
"gam_var_scores",1,"PB",5,-0.614924682908592
"gam_var_scores",1,"PB",6,-0.147507759609764
"gam_var_scores",1,"PF",1,0.924553271359243
"gam_var_scores",1,"PF",2,0.904796588086794
"gam_var_scores",1,"PF",3,0.870541080986535
"gam_var_scores",1,"PF",4,0.861072195494777
"gam_var_scores",1,"PF",5,-0.36976229785839
"gam_var_scores",1,"PF",6,0.745973348125103
"gam_var_scores",2,"all_series",1,0.624865682900332
"gam_var_scores",2,"all_series",2,0.643297644223746
"gam_var_scores",2,"all_series",3,0.640443486192801
"gam_var_scores",2,"all_series",4,0.630948200803055
"gam_var_scores",2,"all_series",5,0.625098334576105
"gam_var_scores",2,"all_series",6,0.502014973729534
"gam_var_scores",2,"DO",1,0.662894742950988
"gam_var_scores",2,"DO",2,0.636583069214421
"gam_var_scores",2,"DO",3,0.573840022153299
"gam_var_scores",2,"DO",4,0.482136276993142
"gam_var_scores",2,"DO",5,0.589409662334337
"gam_var_scores",2,"DO",6,0.557631381908116
"gam_var_scores",2,"DM",1,0.896993214494788
"gam_var_scores",2,"DM",2,0.870839564189684
"gam_var_scores",2,"DM",3,0.874362254652107
"gam_var_scores",2,"DM",4,0.84656447415028
"gam_var_scores",2,"DM",5,0.86377194061607
"gam_var_scores",2,"DM",6,0.857521488830224
"gam_var_scores",2,"PP",1,-1.83641298232839
"gam_var_scores",2,"PP",2,0.684764131831713
"gam_var_scores",2,"PP",3,0.790265354473026
"gam_var_scores",2,"PP",4,0.797629581624164
"gam_var_scores",2,"PP",5,0.710661814184088
"gam_var_scores",2,"PP",6,-1.09098261292855
"gam_var_scores",2,"PB",1,0.547732983040315
"gam_var_scores",2,"PB",2,-3.70785325777774
"gam_var_scores",2,"PB",3,-2.04479961815666
"gam_var_scores",2,"PB",4,-2.3369376567633
"gam_var_scores",2,"PB",5,-3.37932960005688
"gam_var_scores",2,"PB",6,-0.865734914334113
"gam_var_scores",2,"PF",1,0.516625526983944
"gam_var_scores",2,"PF",2,-3.26824760170059
"gam_var_scores",2,"PF",3,-2.99950016335831
"gam_var_scores",2,"PF",4,-3.78509357189728
"gam_var_scores",2,"PF",5,-3.89490917082664
"gam_var_scores",2,"PF",6,-4.13111102579795
"gam_var_scores",3,"all_series",1,0.664994391352256
"gam_var_scores",3,"all_series",2,0.605132170020901
"gam_var_scores",3,"all_series",3,0.606465153359325
"gam_var_scores",3,"all_series",4,0.64680411410288
"gam_var_scores",3,"all_series",5,0.579089877599115
"gam_var_scores",3,"all_series",6,0.532504478979415
"gam_var_scores",3,"DO",1,-0.0284591677699406
"gam_var_scores",3,"DO",2,0.306414193615195
"gam_var_scores",3,"DO",3,0.125012109121609
"gam_var_scores",3,"DO",4,0.43493089463969
"gam_var_scores",3,"DO",5,0.0927076275533412
"gam_var_scores",3,"DO",6,0.407347781668615
"gam_var_scores",3,"DM",1,0.882602853535956
"gam_var_scores",3,"DM",2,0.734345319446159
"gam_var_scores",3,"DM",3,0.705951801764781
"gam_var_scores",3,"DM",4,0.778926732349647
"gam_var_scores",3,"DM",5,0.772345823337873
"gam_var_scores",3,"DM",6,0.845701266573711
"gam_var_scores",3,"PP",1,0.604192843849727
"gam_var_scores",3,"PP",2,0.56213689759215
"gam_var_scores",3,"PP",3,0.617858841358115
"gam_var_scores",3,"PP",4,0.552467775581421
"gam_var_scores",3,"PP",5,0.429207938709777
"gam_var_scores",3,"PP",6,0.292960556159001
"gam_var_scores",3,"PB",1,0.851279277162214
"gam_var_scores",3,"PB",2,0.843647144501297
"gam_var_scores",3,"PB",3,0.832586024196903
"gam_var_scores",3,"PB",4,0.843063795177068
"gam_var_scores",3,"PB",5,0.817999627109681
"gam_var_scores",3,"PB",6,0.784987479980251
"gam_var_scores",3,"PF",1,-1.55009813948313
"gam_var_scores",3,"PF",2,0.0387513110211916
"gam_var_scores",3,"PF",3,-2.23151070062096
"gam_var_scores",3,"PF",4,-2.86208631546337
"gam_var_scores",3,"PF",5,-3.46636132568918
"gam_var_scores",3,"PF",6,-4.71445497372023
"gam_var_scores",4,"all_series",1,0.654576170183194
"gam_var_scores",4,"all_series",2,NA
"gam_var_scores",4,"all_series",3,0.766128799574592
"gam_var_scores",4,"all_series",4,0.71113843974243
"gam_var_scores",4,"all_series",5,0.730632663848304
"gam_var_scores",4,"all_series",6,0.619883954150971
"gam_var_scores",4,"DO",1,0.590757693944312
"gam_var_scores",4,"DO",2,NA
"gam_var_scores",4,"DO",3,0.483362096021627
"gam_var_scores",4,"DO",4,0.399667976198196
"gam_var_scores",4,"DO",5,0.407125011184618
"gam_var_scores",4,"DO",6,0.472710403474868
"gam_var_scores",4,"DM",1,0.772027238172188
"gam_var_scores",4,"DM",2,NA
"gam_var_scores",4,"DM",3,0.805999159162578
"gam_var_scores",4,"DM",4,0.714460218636983
"gam_var_scores",4,"DM",5,0.798890862398686
"gam_var_scores",4,"DM",6,0.802105382577108
"gam_var_scores",4,"PP",1,0.568109991255388
"gam_var_scores",4,"PP",2,NA
"gam_var_scores",4,"PP",3,0.898753031438451
"gam_var_scores",4,"PP",4,0.858536519000114
"gam_var_scores",4,"PP",5,0.817369917242913
"gam_var_scores",4,"PP",6,0.153679185687653
"gam_var_scores",4,"PB",1,0.856513438713383
"gam_var_scores",4,"PB",2,NA
"gam_var_scores",4,"PB",3,0.860135204641363
"gam_var_scores",4,"PB",4,0.871488353882814
"gam_var_scores",4,"PB",5,0.883402947798579
"gam_var_scores",4,"PB",6,0.877544342035012
"gam_var_scores",4,"PF",1,-0.464216620925132
"gam_var_scores",4,"PF",2,NA
"gam_var_scores",4,"PF",3,-0.286615419585439
"gam_var_scores",4,"PF",4,-0.221393205663385
"gam_var_scores",4,"PF",5,-0.0846701334419699
"gam_var_scores",4,"PF",6,-0.507636859194862
"gam_ar_scores",1,"all_series",1,0.426833258893739
"gam_ar_scores",1,"all_series",2,0.424029836339927
"gam_ar_scores",1,"all_series",3,-0.0230329269748665
"gam_ar_scores",1,"all_series",4,0.293883065450655
"gam_ar_scores",1,"all_series",5,0.412480494442868
"gam_ar_scores",1,"all_series",6,0.158376253426248
"gam_ar_scores",1,"DO",1,0.926941805788502
"gam_ar_scores",1,"DO",2,-1.17682195065623
"gam_ar_scores",1,"DO",3,-1.54052773800264
"gam_ar_scores",1,"DO",4,-4.53671197467234
